experiment_name,split,group_type,group_value,rows,log_mae,p95_abs_pct_error,p99_abs_pct_error,error_gt_20pct_rate
F18_reference_recheck,valid,exact_prev1_missing_group,0,382467,0.05788314245012314,0.1737831274536352,0.2959774546513907,0.03388527637678545
F18_reference_recheck,valid,exact_prev1_missing_group,1,1965,0.21241891142737346,0.47870415382461423,0.6811068135616813,0.3928753180661578
F18_reference_recheck,valid,wide_prev1_present_exact_missing_group,0,383760,0.05855169234042081,0.17623375626228044,0.30414176475382687,0.03543099854075464
F18_reference_recheck,valid,wide_prev1_present_exact_missing_group,1,672,0.12797254741985936,0.3529275683704762,0.5667308187303937,0.20089285714285715
F18_reference_recheck,valid,exact_prev1_gap_bucket_plus,1-30,250361,0.051197141764630597,0.15102143768824647,0.2483498775198986,0.021576843038652187
F18_reference_recheck,valid,exact_prev1_gap_bucket_plus,181-365,14625,0.08391480943317015,0.23489768545084722,0.397137609254213,0.07671794871794872
F18_reference_recheck,valid,exact_prev1_gap_bucket_plus,31-90,76044,0.05939580431886379,0.1739730238495374,0.2937698684193799,0.03388827520908948
F18_reference_recheck,valid,exact_prev1_gap_bucket_plus,366-730,6661,0.10562576430286513,0.30044773460592283,0.473284495062256,0.13721663413901816
F18_reference_recheck,valid,exact_prev1_gap_bucket_plus,731+,7988,0.12301986661616429,0.35819885203508484,0.5636601449412334,0.20067601402103155
F18_reference_recheck,valid,exact_prev1_gap_bucket_plus,91-180,26788,0.07056964655821515,0.2000820039799428,0.3314006335852909,0.050097058384351204
F18_reference_recheck,valid,exact_prev1_gap_bucket_plus,missing_or_negative,1965,0.21241891142737346,0.47870415382461423,0.6811068135616813,0.3928753180661578
F18_reference_recheck,valid,prev1_gap_bucket_plus,1-30,258458,0.05152192068103818,0.15181764008061666,0.2503961146795833,0.022138993569554823
F18_reference_recheck,valid,prev1_gap_bucket_plus,181-365,13142,0.08726555274460189,0.24411353544654288,0.41378995987258516,0.08324455942778877
F18_reference_recheck,valid,prev1_gap_bucket_plus,31-90,74756,0.0604411788179937,0.17801913060033425,0.3004834430748219,0.036090748568676764
F18_reference_recheck,valid,prev1_gap_bucket_plus,366-730,5694,0.11071738040380241,0.31090999008532777,0.47653104948631503,0.14980681419037584
F18_reference_recheck,valid,prev1_gap_bucket_plus,731+,5847,0.13485285084691467,0.3770502066144922,0.5916148912140737,0.23636052676586283
F18_reference_recheck,valid,prev1_gap_bucket_plus,91-180,25242,0.07226221294465446,0.204588824312228,0.33617161119493916,0.05332382537041439
F18_reference_recheck,valid,prev1_gap_bucket_plus,missing_or_negative,1293,0.2563075089626012,0.5022122445006892,0.69054229541904,0.49265274555297756
F18_reference_recheck,valid,prev2_gap_bucket_plus,1-30,170682,0.04958370519767621,0.14578123736747492,0.23992564436800146,0.01919358807607129
F18_reference_recheck,valid,prev2_gap_bucket_plus,181-365,26798,0.07320306971934017,0.21073773335367862,0.36091725256193913,0.05780282110605269
F18_reference_recheck,valid,prev2_gap_bucket_plus,31-90,113092,0.05490557776607971,0.1610891181207368,0.2650046542548878,0.026792346054539666
F18_reference_recheck,valid,prev2_gap_bucket_plus,366-730,11654,0.09199795521918337,0.2620235113858181,0.4320633728497147,0.10073794405354385
F18_reference_recheck,valid,prev2_gap_bucket_plus,731+,13013,0.10988811008404553,0.32999366403212677,0.5187580453576575,0.157073695535234
F18_reference_recheck,valid,prev2_gap_bucket_plus,91-180,46543,0.06312603087681469,0.18381123114837106,0.30578452639252024,0.038673914444707046
F18_reference_recheck,valid,prev2_gap_bucket_plus,missing_or_negative,2650,0.18169002606349657,0.4574812187998753,0.6121390123535784,0.3241509433962264
F18_reference_recheck,valid,wide_prev_jump_20_group,0,352933,0.054682614738865105,0.16153433072190176,0.28007252766787766,0.027721975559100453
F18_reference_recheck,valid,wide_prev_jump_20_group,1,31499,0.10338409907597566,0.278549958263831,0.4429257504468155,0.12533731229562844
F18_reference_recheck,valid,exact_prev_jump_20_group,0,352916,0.05482922260688799,0.16210808977642352,0.281905008111216,0.028071835790953088
F18_reference_recheck,valid,exact_prev_jump_20_group,1,31516,0.10171611495410438,0.27309373097267253,0.43574457312825043,0.12136692473664171
F18_reference_recheck,valid,exact_wide_gap_10_group,0,375845,0.05795817433748477,0.17400348729385087,0.30068751947051653,0.03432265960701885
F18_reference_recheck,valid,exact_wide_gap_10_group,1,8587,0.08996214866124057,0.2591320934133799,0.4413516251335331,0.09689064865494353
F18_reference_recheck,valid,region_prior_missing_group,0,384432,0.05867304231808495,0.17675126353978024,0.30513641505874567,0.03572023140633454
F18_reference_recheck,valid,wide_region_outlier_20_group,0,142995,0.054728784376079864,0.15754452012834305,0.27748834913825227,0.026063848386307212
F18_reference_recheck,valid,wide_region_outlier_20_group,1,241437,0.06100909339731895,0.18691581209478225,0.31755194136115084,0.04143938170205892
F18_reference_recheck,test,exact_prev1_missing_group,0,440056,0.05758768907658149,0.1751376525107734,0.30244697929883546,0.03540003999490974
F18_reference_recheck,test,exact_prev1_missing_group,1,1952,0.25999871264303015,0.5493831024837675,0.679262736363499,0.492827868852459
