candidate,seed,epoch,split,rows,log_mae,abs_pct_error_p95,abs_pct_error_p99,error_gt_10pct_rate,error_gt_20pct_rate
F18_reference_huber_010,183,30,valid,384432,0.06397590145881152,0.19249462235583692,0.3474921737591909,0.18875639905106756,0.045568527073708745
F18_reference_huber_010,183,30,test,442008,0.06322893797146695,0.19265052395394344,0.34874810268768003,0.18336998425367868,0.045693743099672404
F18_reference_huber_010,183,30,recent_holdout,209468,0.06654433793285892,0.20150988538967105,0.3645657712905413,0.19829759199495867,0.05075715622433975
F18_reference_huber_010,184,30,valid,384432,0.0639952729547941,0.19222615087358916,0.34775587793003665,0.1885977233945145,0.0454566737420402
F18_reference_huber_010,184,30,test,442008,0.06323438969715195,0.19233259985085624,0.34863727312928394,0.18328401295904145,0.0454742900580985
F18_reference_huber_010,184,30,recent_holdout,209468,0.06655149865487467,0.20130592396159805,0.36497041434656763,0.19812095403593866,0.050761930223232186
F18_reference_huber_010,185,30,valid,384432,0.06421672660815508,0.19301419942250975,0.34829607070399443,0.19008303158946185,0.0457063928080909
F18_reference_huber_010,185,30,test,442008,0.06348504973508536,0.19279134054914088,0.3494365329769343,0.18453738393875224,0.04575030316193372
F18_reference_huber_010,185,30,recent_holdout,209468,0.06676459038631842,0.20152152877161636,0.3657946718411945,0.19914258979891916,0.05084786220329597
F36_monthly_market_anchor_huber_010,183,30,valid,384432,0.060713222024031586,0.18098299090039158,0.3386114273481576,0.17091189078952845,0.03926832313647147
F36_monthly_market_anchor_huber_010,183,30,test,442008,0.06026594958031441,0.180131473153822,0.33724997213057706,0.16728430254656024,0.0388499755660531
F36_monthly_market_anchor_huber_010,183,30,recent_holdout,209468,0.06345371164100849,0.18875152189489633,0.3559000596619978,0.1829109935646495,0.043352683942177325
F36_monthly_market_anchor_huber_010,184,30,valid,384432,0.06064312430640978,0.1801911567842982,0.3370852133201985,0.17011070878594914,0.03884952345278229
F36_monthly_market_anchor_huber_010,184,30,test,442008,0.06022269087354652,0.17936942963313193,0.33563368569142205,0.1667549003637943,0.038411069482905284
F36_monthly_market_anchor_huber_010,184,30,recent_holdout,209468,0.06342562354322712,0.18811243921227905,0.35427708883443726,0.18245746366986842,0.04314740198980274
F36_monthly_market_anchor_huber_010,185,30,valid,384432,0.06068522571305197,0.1803976607608084,0.3346697541403552,0.17132808923294626,0.03881830856952595
F36_monthly_market_anchor_huber_010,185,30,test,442008,0.06031673129934303,0.17980181794156969,0.33321996861977876,0.1682367739950408,0.03852871441240883
F36_monthly_market_anchor_huber_010,185,30,recent_holdout,209468,0.0635156017340492,0.1888233749098007,0.3519557117244456,0.18435751522905647,0.04323810796875895
