candidate,epoch,kind,split,rows,log_mae,price_per_m2_mape,abs_pct_error_p50,abs_pct_error_p80,abs_pct_error_p90,abs_pct_error_p95,abs_pct_error_p99,error_gt_10pct_rate,error_gt_20pct_rate,error_gt_30pct_rate,error_gt_50pct_rate
e30_mse,30,mse,valid,384432,0.06481536641673159,0.06510215955345383,0.043808197453181465,0.0970238448256362,0.1415909175953568,0.19187462818701168,0.34149884152413484,0.19016367003787407,0.044967640571024266,0.014720418695634079,0.0031865193324176967
e30_mse,30,mse,test,442008,0.06494864084206513,0.06483724904162472,0.04324576230906241,0.09623497265821712,0.14195868015201052,0.19368185341976135,0.34668385105841193,0.18806899422634885,0.046254818917304666,0.015271216810555465,0.0033257316609654124
e30_mse,30,mse,recent_holdout,209468,0.06828156638296139,0.0682771065568132,0.045494965853255714,0.10140775275160271,0.14901636486795383,0.2026238728418941,0.3653171702879296,0.2045515305440449,0.051392098077033245,0.017768823877632862,0.0038621651039776957
e30_huber_005,30,huber,valid,384432,0.06429829506535718,0.06482760046280583,0.04304595246699649,0.09697206805265178,0.1421976130034598,0.19337880720632403,0.350238239973562,0.19043419902609565,0.04596131435468431,0.015422753568901652,0.0036157239771923253
e30_huber_005,30,huber,test,442008,0.06352799301480724,0.06371818152856124,0.0418088029298425,0.09504917860923622,0.1409516252605167,0.19325699648428088,0.35070161641798714,0.18463240484335125,0.04607382671806845,0.015461258619753488,0.003624368789705164
e30_huber_005,30,huber,recent_holdout,209468,0.06682835904268863,0.06740386594108079,0.044180012069236226,0.0999219113888828,0.1477726676173924,0.2020647532288158,0.3667555819705465,0.19968682567265644,0.051234556113582984,0.01772108388870854,0.004248859014264709
e30_huber_0075,30,huber,valid,384432,0.06424914284879936,0.06477966766789868,0.043039378589330955,0.0969003403921629,0.14221731158067089,0.19283804433764704,0.3472805789924195,0.19014546135597452,0.04573500645107587,0.015186040704207766,0.003490864444166979
e30_huber_0075,30,huber,test,442008,0.06357496334710164,0.06374896237700581,0.0418960558566079,0.09516457027709889,0.14109505820231058,0.19312455462114445,0.3493538346441971,0.18504642449910408,0.045996905033393064,0.015404698557492172,0.0035338726900870573
e30_huber_0075,30,huber,recent_holdout,209468,0.06687568024754781,0.06742971106733246,0.044231350273031905,0.0999392290205034,0.147856587711455,0.2019345179383633,0.36484256053110664,0.19980140164607482,0.05115339813241163,0.017630377909752325,0.004191571027555522
e30_huber_010,30,huber,valid,384432,0.06422431267088324,0.06477230728971217,0.04287194703868288,0.09678253236022501,0.14223200952998186,0.1939641861533312,0.35111378353244194,0.18990094477046657,0.0462786656677904,0.015532005660298831,0.003675552503433637
