experiment_name,split,group_type,group_value,rows,log_mae,p95_abs_pct_error,p99_abs_pct_error,error_gt_20pct_rate
F18_reference_huber_010,valid,exact_prev1_missing_group,0,382467,0.06181185212238051,0.18821945368689236,0.32245276419892505,0.04274355696046979
F18_reference_huber_010,valid,exact_prev1_missing_group,1,1965,0.48459776277721095,0.9490066833800515,3.0844508722156205,0.5944020356234097
F18_reference_huber_010,valid,wide_prev1_present_exact_missing_group,0,383760,0.06383044571966025,0.1918738626846932,0.34585106361169266,0.04520012507817386
F18_reference_huber_010,valid,wide_prev1_present_exact_missing_group,1,672,0.14532202406384478,0.3934426404634108,0.5775671490348934,0.25297619047619047
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,1-30,250361,0.054588587582994424,0.16261253164462097,0.2678781155188976,0.02724865294514721
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,181-365,14625,0.08731238193072847,0.26132371168859675,0.43424809071805015,0.09552136752136751
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,31-90,76044,0.06304795514318373,0.18664188944167248,0.3102031558376732,0.04167324180737468
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,366-730,6661,0.1149547195974405,0.3510135690409308,0.5668115994070279,0.18150427863684132
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,731+,7988,0.1459788221831612,0.3931053904371381,0.6333913033291693,0.2628943415122684
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,91-180,26788,0.07357718994854487,0.21652800544034073,0.36944686767205204,0.06163207406301329
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,missing_or_negative,1965,0.48459776277721095,0.9490066833800515,3.0844508722156205,0.5944020356234097
F18_reference_huber_010,valid,prev1_gap_bucket_plus,1-30,258458,0.05519803846120731,0.16437848340351308,0.27152441099190056,0.028341161813524827
F18_reference_huber_010,valid,prev1_gap_bucket_plus,181-365,13142,0.08951677310022339,0.2664592267796618,0.44075152276237595,0.10120225232080353
F18_reference_huber_010,valid,prev1_gap_bucket_plus,31-90,74756,0.06382220262088231,0.1897949085219801,0.31502939127291313,0.04388945368933597
F18_reference_huber_010,valid,prev1_gap_bucket_plus,366-730,5694,0.12033039838308791,0.3611923164042498,0.5745663452165174,0.19792764313312258
F18_reference_huber_010,valid,prev1_gap_bucket_plus,731+,5847,0.1647590062091327,0.42207652518501376,0.6654816164253805,0.31759876859928166
F18_reference_huber_010,valid,prev1_gap_bucket_plus,91-180,25242,0.07433033089084717,0.21904174071978355,0.37106069750676246,0.06330718643530624
F18_reference_huber_010,valid,prev1_gap_bucket_plus,missing_or_negative,1293,0.6609266849855497,1.4604289073109538,3.637216454013534,0.7718484145398299
F18_reference_huber_010,valid,prev2_gap_bucket_plus,1-30,170682,0.05333132202861916,0.1589804398696113,0.2613854830552155,0.025433261855380182
F18_reference_huber_010,valid,prev2_gap_bucket_plus,181-365,26798,0.07429083248167916,0.22266099230344472,0.3782767220131539,0.06530338084931711
F18_reference_huber_010,valid,prev2_gap_bucket_plus,31-90,113092,0.05828658158451631,0.17325406530030688,0.28334979733095056,0.033220740635942415
F18_reference_huber_010,valid,prev2_gap_bucket_plus,366-730,11654,0.0963933445576825,0.29103551068371514,0.4918372444036142,0.1239917624849837
F18_reference_huber_010,valid,prev2_gap_bucket_plus,731+,13013,0.1295521719040406,0.3665583320860493,0.5827001422347866,0.2143241374010605
F18_reference_huber_010,valid,prev2_gap_bucket_plus,91-180,46543,0.06582481035663477,0.19380986184512006,0.32779927905916134,0.04597898717315171
F18_reference_huber_010,valid,prev2_gap_bucket_plus,missing_or_negative,2650,0.3905755210443107,0.8899466900275215,2.817935935792026,0.48830188679245284
F18_reference_huber_010,valid,wide_prev_jump_20_group,0,352933,0.05912818404157393,0.17449683576930078,0.3235704279420528,0.03570649386710792
F18_reference_huber_010,valid,wide_prev_jump_20_group,1,31499,0.11825584530311765,0.29646639571644434,0.4673961872537641,0.1560049525381758
F18_reference_huber_010,valid,exact_prev_jump_20_group,0,352916,0.059365417223021646,0.1757203660597046,0.32582482710859356,0.036385428827256344
F18_reference_huber_010,valid,exact_prev_jump_20_group,1,31516,0.11556741543558235,0.29123379739282645,0.463615096843886,0.1483373524558954
F18_reference_huber_010,valid,exact_wide_gap_10_group,0,375845,0.06284079476814598,0.18832177760287483,0.34044666727095524,0.043086910827601806
F18_reference_huber_010,valid,exact_wide_gap_10_group,1,8587,0.11352390123604246,0.3095576743174671,0.5072764761515379,0.15395365086759055
F18_reference_huber_010,valid,region_prior_missing_group,0,384432,0.06397289572550598,0.1924682729470313,0.3474684491652246,0.04556332459316602
F18_reference_huber_010,valid,wide_region_outlier_20_group,0,142995,0.06205926919290408,0.17529695145730761,0.35223022632403567,0.03635791461239903
F18_reference_huber_010,valid,wide_region_outlier_20_group,1,241437,0.06510627224206895,0.20149294145185054,0.34574649395112533,0.05101537875304945
F18_reference_huber_010,test,exact_prev1_missing_group,0,440056,0.06114382362731312,0.18825682119130718,0.3250167741675398,0.04304224916828767
F18_reference_huber_010,test,exact_prev1_missing_group,1,1952,0.53091143860024,0.9144646519760286,2.6516881456289707,0.6501024590163934
