experiment_name,split,group_type,group_value,rows,log_mae,p95_abs_pct_error,p99_abs_pct_error,error_gt_20pct_rate
F18_reference_huber_010,valid,exact_prev1_missing_group,0,382467,0.06181229714259036,0.18822144043261865,0.3224919537330243,0.04274355696046979
F18_reference_huber_010,valid,exact_prev1_missing_group,1,1965,0.48450686837367296,0.9494964342834897,3.0853845002199343,0.5944020356234097
F18_reference_huber_010,valid,wide_prev1_present_exact_missing_group,0,383760,0.06383040297151704,0.19189191022877983,0.34580674102864867,0.04520012507817386
F18_reference_huber_010,valid,wide_prev1_present_exact_missing_group,1,672,0.1453339333928446,0.39339598370505996,0.5775356766069248,0.25297619047619047
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,1-30,250361,0.05458883876033125,0.16261093882573666,0.2678733636406962,0.02724865294514721
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,181-365,14625,0.08731047848103309,0.26131181507160023,0.4342253856449518,0.09558974358974359
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,31-90,76044,0.06304869261686374,0.1866404010980298,0.31016207521959316,0.041646941244542636
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,366-730,6661,0.11495307310940787,0.3509623248443591,0.5668246236655738,0.18150427863684132
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,731+,7988,0.14598883701053642,0.39313304371237484,0.6331047427357095,0.2628943415122684
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,91-180,26788,0.07357756499910337,0.21653085332163477,0.369310280670718,0.061669404210840675
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,missing_or_negative,1965,0.48450686837367296,0.9494964342834897,3.0853845002199343,0.5944020356234097
F18_reference_huber_010,valid,prev1_gap_bucket_plus,1-30,258458,0.05519835314510891,0.16437653762338414,0.2715218765173886,0.02833729271293595
F18_reference_huber_010,valid,prev1_gap_bucket_plus,181-365,13142,0.08951509202761931,0.2664758372476318,0.44075672398597837,0.10120225232080353
F18_reference_huber_010,valid,prev1_gap_bucket_plus,31-90,74756,0.06382311788359482,0.1897770958282484,0.3149835020400417,0.04388945368933597
F18_reference_huber_010,valid,prev1_gap_bucket_plus,366-730,5694,0.12032777768040441,0.36116965142326946,0.5744768105069288,0.19792764313312258
F18_reference_huber_010,valid,prev1_gap_bucket_plus,731+,5847,0.16476870005632224,0.4220656988529002,0.6654446611974997,0.31759876859928166
F18_reference_huber_010,valid,prev1_gap_bucket_plus,91-180,25242,0.07433067910712332,0.21904084486592568,0.370983012962539,0.0633468029474685
F18_reference_huber_010,valid,prev1_gap_bucket_plus,missing_or_negative,1293,0.6607823612639411,1.4609866670135498,3.638281290213268,0.7718484145398299
F18_reference_huber_010,valid,prev2_gap_bucket_plus,1-30,170682,0.05333137221006402,0.15898766347557447,0.2613754859296988,0.02542740300676111
F18_reference_huber_010,valid,prev2_gap_bucket_plus,181-365,26798,0.07429050482229757,0.22271227000382338,0.3782836039499513,0.06530338084931711
F18_reference_huber_010,valid,prev2_gap_bucket_plus,31-90,113092,0.05828714195995613,0.17326127877169378,0.28337481842163426,0.033211898277508575
F18_reference_huber_010,valid,prev2_gap_bucket_plus,366-730,11654,0.09639361372602882,0.2909745046895215,0.491821855862731,0.1239917624849837
F18_reference_huber_010,valid,prev2_gap_bucket_plus,731+,13013,0.1295604782834472,0.3665881694376011,0.5826702518371785,0.21447782986244524
F18_reference_huber_010,valid,prev2_gap_bucket_plus,91-180,46543,0.06582478923816516,0.19376075906806586,0.3278174934082339,0.04597898717315171
F18_reference_huber_010,valid,prev2_gap_bucket_plus,missing_or_negative,2650,0.39050691527938675,0.8899228515419366,2.8188650254943095,0.48830188679245284
F18_reference_huber_010,valid,wide_prev_jump_20_group,0,352933,0.05912782537670223,0.17450690065648192,0.3235723658153122,0.03570082706916044
F18_reference_huber_010,valid,wide_prev_jump_20_group,1,31499,0.11825959725431658,0.29653363118193565,0.46746531182791795,0.15606844661735292
